City,Date,Card Type,Exp Type,Gender,Amount,Year,Month,Day,Weekday
"Kolkata, India",04-12-2014,Platinum,Bills,Female,151726,2014,12,4,Thursday
"Lucknow, India",04-12-2014,Silver,Femaleuel,Female,217620,2014,12,4,Thursday
"Hyderabad, India",04-12-2014,Gold,Bills,Female,17276,2014,12,4,Thursday
"Kanpur, India",04-12-2014,Gold,Femaleood,Female,296638,2014,12,4,Thursday
"Greater Mumbai, India",03-12-2014,Signature,Bills,Female,559262,2014,12,3,Wednesday
"Bengaluru, India",03-12-2014,Gold,Bills,Female,517448,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Silver,Femaleuel,Female,289661,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Silver,Bills,Female,143266,2014,12,3,Wednesday
"Ahmedabad, India",03-12-2014,Signature,Femaleuel,Female,178340,2014,12,3,Wednesday
"Bengaluru, India",03-12-2014,Signature,Bills,M,266752,2014,12,3,Wednesday
"Ahmedabad, India",03-12-2014,Gold,Bills,Female,222804,2014,12,3,Wednesday
"Bengaluru, India",03-12-2014,Signature,Femaleuel,Female,298328,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Signature,Grocery,M,17463,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Signature,Entertainment,M,191412,2014,12,3,Wednesday
"Delhi, India",03-12-2014,Signature,Femaleuel,M,65260,2014,12,3,Wednesday
"Delhi, India",03-12-2014,Gold,Femaleood,Female,205916,2014,12,3,Wednesday
"Delhi, India",03-12-2014,Silver,Entertainment,Female,3287,2014,12,3,Wednesday
"Ahmedabad, India",03-12-2014,Platinum,Grocery,M,132176,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Silver,Bills,Female,95384,2014,12,3,Wednesday
"Delhi, India",03-12-2014,Gold,Grocery,M,216920,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Signature,Femaleuel,Female,1416,2014,12,3,Wednesday
"Greater Mumbai, India",03-12-2014,Silver,Femaleuel,M,66086,2014,12,3,Wednesday
"Nellikuppam, India",03-12-2014,Gold,Grocery,Female,42879,2014,12,3,Wednesday
"Nilambur, India",03-12-2014,Signature,Bills,M,101951,2014,12,3,Wednesday
"Muvattupuzha, India",03-12-2014,Signature,Femaleuel,M,21202,2014,12,3,Wednesday
"Kyathampalle, India",03-12-2014,Gold,Grocery,M,133995,2014,12,3,Wednesday
"Udaipurwati, India",03-12-2014,Gold,Grocery,M,291222,2014,12,3,Wednesday
"Tilda Newra, India",03-12-2014,Gold,Femaleuel,Female,106653,2014,12,3,Wednesday
"Hisar, India",03-12-2014,Silver,Femaleood,Female,38079,2014,12,3,Wednesday
"Kanpur, India",03-12-2014,Signature,Bills,M,158399,2014,12,3,Wednesday
"Lucknow, India",03-12-2014,Signature,Femaleuel,M,33345,2014,12,3,Wednesday
"Kanpur, India",03-12-2014,Gold,Bills,Female,23129,2014,12,3,Wednesday
"Surat, India",03-12-2014,Platinum,Femaleuel,Female,67951,2014,12,3,Wednesday
"Hyderabad, India",03-12-2014,Silver,Bills,M,284284,2014,12,3,Wednesday
"Chennai, India",03-12-2014,Signature,Femaleood,M,64647,2014,12,3,Wednesday
"Kolkata, India",03-12-2014,Gold,Bills,M,211157,2014,12,3,Wednesday
"Surat, India",03-12-2014,Silver,Grocery,M,228677,2014,12,3,Wednesday
"Jaipur, India",03-12-2014,Gold,Entertainment,M,97834,2014,12,3,Wednesday
"Chennai, India",03-12-2014,Gold,Travel,Female,206179,2014,12,3,Wednesday
"Delhi, India",02-12-2014,Signature,Femaleood,Female,30417,2014,12,2,Tuesday
"Ahmedabad, India",02-12-2014,Platinum,Femaleuel,Female,114790,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Signature,Entertainment,M,81250,2014,12,2,Tuesday
"Ahmedabad, India",02-12-2014,Platinum,Grocery,Female,167904,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Gold,Grocery,Female,165928,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Silver,Femaleood,Female,184570,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Platinum,Bills,Female,232774,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Platinum,Femaleood,Female,32624,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Platinum,Bills,M,88896,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Signature,Femaleood,M,8994,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Platinum,Femaleuel,Female,152193,2014,12,2,Tuesday
"Delhi, India",02-12-2014,Gold,Femaleuel,M,185333,2014,12,2,Tuesday
"Delhi, India",02-12-2014,Gold,Femaleuel,Female,7895,2014,12,2,Tuesday
"Ahmedabad, India",02-12-2014,Silver,Femaleuel,M,71250,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Platinum,Grocery,M,177774,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Gold,Entertainment,Female,131184,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Signature,Grocery,M,63931,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Platinum,Entertainment,M,170334,2014,12,2,Tuesday
"Delhi, India",02-12-2014,Silver,Femaleood,Female,284328,2014,12,2,Tuesday
"Ahmedabad, India",02-12-2014,Signature,Femaleuel,M,224056,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Gold,Femaleuel,Female,114804,2014,12,2,Tuesday
"Bengaluru, India",02-12-2014,Silver,Femaleood,M,65618,2014,12,2,Tuesday
"Greater Mumbai, India",02-12-2014,Gold,Entertainment,M,169567,2014,12,2,Tuesday
"Medininagar (Daltonganj), India",02-12-2014,Signature,Femaleuel,M,275600,2014,12,2,Tuesday
"Tinsukia, India",02-12-2014,Signature,Bills,Female,163781,2014,12,2,Tuesday
"Thana Bhawan, India",02-12-2014,Gold,Femaleood,Female,152271,2014,12,2,Tuesday
"Shrigonda, India",02-12-2014,Gold,Entertainment,M,81670,2014,12,2,Tuesday
"Nagina, India",02-12-2014,Gold,Femaleuel,Female,31565,2014,12,2,Tuesday
"Pilibhit, India",02-12-2014,Platinum,Femaleood,Female,18108,2014,12,2,Tuesday
"Keshod, India",02-12-2014,Gold,Entertainment,M,24590,2014,12,2,Tuesday
"Lucknow, India",02-12-2014,Platinum,Grocery,M,151584,2014,12,2,Tuesday
"Surat, India",02-12-2014,Silver,Femaleuel,M,164730,2014,12,2,Tuesday
"Lucknow, India",02-12-2014,Signature,Entertainment,M,138889,2014,12,2,Tuesday
"Kolkata, India",02-12-2014,Gold,Entertainment,M,189992,2014,12,2,Tuesday
"Pune, India",02-12-2014,Gold,Grocery,M,174459,2014,12,2,Tuesday
"Kanpur, India",02-12-2014,Signature,Femaleood,Female,106203,2014,12,2,Tuesday
"Jaipur, India",02-12-2014,Signature,Femaleood,M,184504,2014,12,2,Tuesday
"Pune, India",02-12-2014,Signature,Bills,Female,162503,2014,12,2,Tuesday
"Kanpur, India",02-12-2014,Platinum,Travel,Female,178865,2014,12,2,Tuesday
"Bengaluru, India",01-12-2014,Silver,Grocery,Female,38878,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Silver,Femaleuel,Female,46636,2014,12,1,Monday
"Delhi, India",01-12-2014,Signature,Bills,Female,274376,2014,12,1,Monday
"Ahmedabad, India",01-12-2014,Gold,Femaleood,M,220797,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Silver,Grocery,M,28122,2014,12,1,Monday
"Ahmedabad, India",01-12-2014,Gold,Femaleuel,M,250387,2014,12,1,Monday
"Delhi, India",01-12-2014,Signature,Femaleuel,M,112123,2014,12,1,Monday
"Delhi, India",01-12-2014,Signature,Femaleuel,Female,279502,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Silver,Bills,M,43283,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Platinum,Entertainment,Female,279755,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Signature,Femaleuel,M,197789,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Platinum,Femaleood,Female,273755,2014,12,1,Monday
"Delhi, India",01-12-2014,Signature,Femaleood,Female,278167,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Gold,Entertainment,Female,266685,2014,12,1,Monday
"Bengaluru, India",01-12-2014,Gold,Grocery,M,199926,2014,12,1,Monday
"Bengaluru, India",01-12-2014,Silver,Femaleuel,Female,90064,2014,12,1,Monday
"Ahmedabad, India",01-12-2014,Silver,Femaleood,M,87180,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Signature,Grocery,M,58349,2014,12,1,Monday
"Delhi, India",01-12-2014,Signature,Femaleuel,Female,48059,2014,12,1,Monday
"Greater Mumbai, India",01-12-2014,Gold,Entertainment,M,252934,2014,12,1,Monday
"Ahmedabad, India",01-12-2014,Silver,Femaleood,Female,4545,2014,12,1,Monday
"Kollam, India",01-12-2014,Silver,Entertainment,M,220044,2014,12,1,Monday
"Dehri-on-Sone, India",01-12-2014,Platinum,Entertainment,Female,15702,2014,12,1,Monday
"Narsinghgarh, India",01-12-2014,Silver,Femaleuel,Female,234052,2014,12,1,Monday
"Jammu, India",01-12-2014,Signature,Femaleood,M,33536,2014,12,1,Monday
"Tura, India",01-12-2014,Gold,Femaleuel,Female,27693,2014,12,1,Monday
"Nirmal, India",01-12-2014,Gold,Bills,M,72538,2014,12,1,Monday
"Arvi, India",01-12-2014,Silver,Bills,Female,57879,2014,12,1,Monday
"Ramdurg, India",01-12-2014,Silver,Grocery,Female,30631,2014,12,1,Monday
"Losal, India",01-12-2014,Signature,Bills,Female,74217,2014,12,1,Monday
"Ahmednagar, India",01-12-2014,Gold,Femaleuel,M,181093,2014,12,1,Monday
"Tandur, India",01-12-2014,Signature,Grocery,M,133539,2014,12,1,Monday
"Zunheboto, India",01-12-2014,Silver,Entertainment,Female,78591,2014,12,1,Monday
"Madikeri, India",01-12-2014,Signature,Femaleood,M,187789,2014,12,1,Monday
"Lucknow, India",01-12-2014,Signature,Entertainment,M,215330,2014,12,1,Monday
"Hyderabad, India",01-12-2014,Platinum,Femaleuel,M,165215,2014,12,1,Monday
"Lucknow, India",01-12-2014,Signature,Femaleuel,M,150333,2014,12,1,Monday
"Chennai, India",01-12-2014,Silver,Femaleuel,M,252881,2014,12,1,Monday
"Hyderabad, India",01-12-2014,Platinum,Grocery,Female,247258,2014,12,1,Monday
"Jaipur, India",01-12-2014,Platinum,Femaleood,Female,101492,2014,12,1,Monday
"Kanpur, India",01-12-2014,Signature,Travel,Female,194489,2014,12,1,Monday
"Ahmedabad, India",30-11-2014,Gold,Bills,Female,761930,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Silver,Bills,Female,210425,2014,11,30,Sunday
"Delhi, India",30-11-2014,Silver,Entertainment,Female,24410,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Signature,Grocery,M,15049,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Platinum,Femaleood,M,88755,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Gold,Bills,Female,262773,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Signature,Grocery,M,102407,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Silver,Bills,Female,28218,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Silver,Femaleood,Female,72730,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Silver,Bills,M,46509,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Silver,Femaleuel,Female,208597,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Gold,Grocery,Female,151535,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Platinum,Entertainment,M,47532,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Platinum,Entertainment,M,9906,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Signature,Femaleood,M,270596,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Signature,Femaleood,Female,239017,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Platinum,Bills,M,253511,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Signature,Entertainment,M,270016,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Gold,Femaleood,Female,267517,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Platinum,Bills,M,11573,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Signature,Bills,Female,273958,2014,11,30,Sunday
"Delhi, India",30-11-2014,Signature,Grocery,M,256301,2014,11,30,Sunday
"Bengaluru, India",30-11-2014,Silver,Femaleood,M,37191,2014,11,30,Sunday
"Ahmedabad, India",30-11-2014,Gold,Grocery,Female,281372,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Silver,Entertainment,Female,99928,2014,11,30,Sunday
"Greater Mumbai, India",30-11-2014,Signature,Grocery,M,215661,2014,11,30,Sunday
"Nangal, India",30-11-2014,Gold,Femaleuel,Female,136140,2014,11,30,Sunday
"Dibrugarh, India",30-11-2014,Gold,Bills,M,171748,2014,11,30,Sunday
"Sangareddy, India",30-11-2014,Silver,Bills,M,109566,2014,11,30,Sunday
"Rayadurg, India",30-11-2014,Signature,Femaleood,Female,154013,2014,11,30,Sunday
"Yavatmal, India",30-11-2014,Signature,Femaleuel,Female,168018,2014,11,30,Sunday
"Rath, India",30-11-2014,Silver,Femaleuel,Female,115996,2014,11,30,Sunday
"Tiruchendur, India",30-11-2014,Platinum,Bills,Female,220321,2014,11,30,Sunday
"Siana, India",30-11-2014,Signature,Entertainment,Female,58939,2014,11,30,Sunday
"Hyderabad, India",30-11-2014,Platinum,Grocery,Female,246262,2014,11,30,Sunday
"Chennai, India",30-11-2014,Signature,Femaleuel,Female,54851,2014,11,30,Sunday
"Hyderabad, India",30-11-2014,Gold,Grocery,Female,199036,2014,11,30,Sunday
"Kanpur, India",30-11-2014,Silver,Grocery,M,227492,2014,11,30,Sunday
"Kanpur, India",30-11-2014,Silver,Grocery,Female,33818,2014,11,30,Sunday
"Kanpur, India",30-11-2014,Silver,Grocery,M,236449,2014,11,30,Sunday
"Lucknow, India",30-11-2014,Signature,Femaleuel,M,24569,2014,11,30,Sunday
"Surat, India",30-11-2014,Silver,Bills,Female,17530,2014,11,30,Sunday
"Surat, India",30-11-2014,Platinum,Entertainment,M,267070,2014,11,30,Sunday
"Jaipur, India",30-11-2014,Platinum,Grocery,Female,101716,2014,11,30,Sunday
"Kanpur, India",30-11-2014,Signature,Grocery,M,45401,2014,11,30,Sunday
"Kanpur, India",30-11-2014,Silver,Femaleood,Female,3830,2014,11,30,Sunday
"Hyderabad, India",30-11-2014,Gold,Bills,Female,226515,2014,11,30,Sunday
"Lucknow, India",30-11-2014,Signature,Travel,M,126429,2014,11,30,Sunday
"Bengaluru, India",29-11-2014,Platinum,Bills,Female,537050,2014,11,29,Saturday
"Delhi, India",29-11-2014,Platinum,Femaleood,Female,154806,2014,11,29,Saturday
"Delhi, India",29-11-2014,Silver,Bills,Female,299032,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Silver,Femaleuel,Female,254875,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Silver,Grocery,Female,254342,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Silver,Entertainment,Female,160297,2014,11,29,Saturday
"Delhi, India",29-11-2014,Platinum,Femaleood,Female,221174,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Silver,Femaleood,Female,298166,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Signature,Femaleuel,M,185629,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Silver,Bills,M,7798,2014,11,29,Saturday
"Delhi, India",29-11-2014,Signature,Bills,Female,193829,2014,11,29,Saturday
"Ahmedabad, India",29-11-2014,Platinum,Bills,Female,138144,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Signature,Entertainment,M,248658,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Platinum,Entertainment,Female,35146,2014,11,29,Saturday
"Delhi, India",29-11-2014,Silver,Femaleood,M,151476,2014,11,29,Saturday
"Delhi, India",29-11-2014,Signature,Femaleuel,Female,260476,2014,11,29,Saturday
"Delhi, India",29-11-2014,Signature,Grocery,Female,231188,2014,11,29,Saturday
"Ahmedabad, India",29-11-2014,Silver,Bills,Female,11870,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Platinum,Femaleuel,M,33573,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Signature,Grocery,M,151838,2014,11,29,Saturday
"Delhi, India",29-11-2014,Platinum,Entertainment,M,274196,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Silver,Grocery,M,102869,2014,11,29,Saturday
"Delhi, India",29-11-2014,Silver,Femaleood,M,262639,2014,11,29,Saturday
"Delhi, India",29-11-2014,Gold,Grocery,Female,11044,2014,11,29,Saturday
"Ahmedabad, India",29-11-2014,Gold,Femaleuel,M,256485,2014,11,29,Saturday
"Ahmedabad, India",29-11-2014,Silver,Femaleood,Female,83726,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Signature,Femaleuel,Female,279948,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Platinum,Femaleood,Female,234720,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Gold,Femaleood,Female,144703,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Silver,Femaleuel,Female,211986,2014,11,29,Saturday
"Bengaluru, India",29-11-2014,Signature,Entertainment,Female,299936,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Gold,Femaleood,Female,5061,2014,11,29,Saturday
"Greater Mumbai, India",29-11-2014,Gold,Femaleood,M,152992,2014,11,29,Saturday
"Siwan, India",29-11-2014,Silver,Bills,M,233812,2014,11,29,Saturday
"Akot, India",29-11-2014,Gold,Entertainment,Female,24374,2014,11,29,Saturday
"Pithapuram, India",29-11-2014,Signature,Grocery,Female,182041,2014,11,29,Saturday
"Tumsar, India",29-11-2014,Gold,Entertainment,Female,146992,2014,11,29,Saturday
"Chirmiri, India",29-11-2014,Gold,Femaleood,M,223436,2014,11,29,Saturday
"Pandhurna, India",29-11-2014,Platinum,Entertainment,Female,154515,2014,11,29,Saturday
"Barnala, India",29-11-2014,Gold,Femaleood,Female,59993,2014,11,29,Saturday
"Chennai, India",29-11-2014,Silver,Grocery,Female,217458,2014,11,29,Saturday
"Pune, India",29-11-2014,Signature,Femaleood,M,33930,2014,11,29,Saturday
"Lucknow, India",29-11-2014,Signature,Grocery,M,214271,2014,11,29,Saturday
"Kolkata, India",29-11-2014,Silver,Femaleood,M,299837,2014,11,29,Saturday
"Pune, India",29-11-2014,Signature,Grocery,M,117989,2014,11,29,Saturday
"Chennai, India",29-11-2014,Signature,Bills,M,103541,2014,11,29,Saturday
"Chennai, India",29-11-2014,Gold,Entertainment,M,76113,2014,11,29,Saturday
"Kolkata, India",29-11-2014,Gold,Bills,Female,75459,2014,11,29,Saturday
"Lucknow, India",29-11-2014,Platinum,Bills,M,291056,2014,11,29,Saturday
"Pune, India",29-11-2014,Signature,Grocery,M,17043,2014,11,29,Saturday
"Surat, India",29-11-2014,Gold,Travel,Female,65529,2014,11,29,Saturday
"Greater Mumbai, India",28-11-2014,Platinum,Bills,Female,647116,2014,11,28,Friday
"Delhi, India",28-11-2014,Platinum,Bills,Female,284923,2014,11,28,Friday
"Delhi, India",28-11-2014,Platinum,Bills,Female,688577,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Platinum,Femaleood,Female,266386,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Gold,Femaleood,Female,213552,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Silver,Grocery,Female,37845,2014,11,28,Friday
"Greater Mumbai, India",28-11-2014,Signature,Grocery,Female,225540,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Silver,Femaleuel,M,18022,2014,11,28,Friday
"Delhi, India",28-11-2014,Gold,Femaleuel,M,280656,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Gold,Entertainment,M,35621,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Silver,Bills,Female,150518,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Gold,Femaleood,Female,30299,2014,11,28,Friday
"Greater Mumbai, India",28-11-2014,Signature,Entertainment,M,154713,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Gold,Bills,Female,244527,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Platinum,Bills,Female,143800,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Silver,Entertainment,M,56636,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Silver,Bills,M,28057,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Silver,Femaleuel,M,234629,2014,11,28,Friday
"Greater Mumbai, India",28-11-2014,Silver,Femaleuel,Female,144924,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Gold,Grocery,M,142312,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Silver,Grocery,Female,93921,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Gold,Entertainment,Female,297182,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Gold,Grocery,Female,46852,2014,11,28,Friday
"Greater Mumbai, India",28-11-2014,Silver,Entertainment,Female,266492,2014,11,28,Friday
"Greater Mumbai, India",28-11-2014,Silver,Entertainment,M,17642,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Silver,Entertainment,Female,80606,2014,11,28,Friday
"Delhi, India",28-11-2014,Platinum,Grocery,M,5744,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Platinum,Femaleood,M,72267,2014,11,28,Friday
"Ahmedabad, India",28-11-2014,Platinum,Entertainment,M,214857,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Silver,Entertainment,Female,245930,2014,11,28,Friday
"Bengaluru, India",28-11-2014,Signature,Femaleood,M,243014,2014,11,28,Friday
"Delhi, India",28-11-2014,Platinum,Femaleood,Female,57202,2014,11,28,Friday
"Jagraon, India",28-11-2014,Signature,Entertainment,M,251954,2014,11,28,Friday
"Shahbad, India",28-11-2014,Signature,Bills,M,129297,2014,11,28,Friday
"Palanpur, India",28-11-2014,Silver,Femaleood,M,102040,2014,11,28,Friday
"Gumia, India",28-11-2014,Signature,Grocery,Female,131219,2014,11,28,Friday
"Kochi, India",28-11-2014,Platinum,Entertainment,Female,124016,2014,11,28,Friday
"Tanuku, India",28-11-2014,Platinum,Entertainment,Female,184511,2014,11,28,Friday
"Pandharkaoda, India",28-11-2014,Signature,Entertainment,Female,183403,2014,11,28,Friday
"Dehri-on-Sone, India",28-11-2014,Signature,Bills,Female,282909,2014,11,28,Friday
"Neemuch, India",28-11-2014,Silver,Femaleuel,Female,259489,2014,11,28,Friday
"Yanam, India",28-11-2014,Signature,Bills,Female,125739,2014,11,28,Friday
"Sankarankoil, India",28-11-2014,Silver,Femaleood,Female,35445,2014,11,28,Friday
"Sardhana, India",28-11-2014,Gold,Femaleuel,M,270723,2014,11,28,Friday
"Rasra, India",28-11-2014,Gold,Entertainment,Female,171922,2014,11,28,Friday
"Kharar, India",28-11-2014,Gold,Femaleuel,Female,168017,2014,11,28,Friday
"Surat, India",28-11-2014,Gold,Bills,M,12037,2014,11,28,Friday
"Pune, India",28-11-2014,Silver,Entertainment,Female,21064,2014,11,28,Friday
"Kanpur, India",28-11-2014,Platinum,Entertainment,M,214470,2014,11,28,Friday
"Hyderabad, India",28-11-2014,Gold,Femaleood,M,105732,2014,11,28,Friday
"Kanpur, India",28-11-2014,Silver,Bills,M,89337,2014,11,28,Friday
"Pune, India",28-11-2014,Silver,Grocery,M,221706,2014,11,28,Friday
"Surat, India",28-11-2014,Silver,Grocery,Female,232644,2014,11,28,Friday
"Greater Mumbai, India",27-11-2014,Silver,Bills,Female,194526,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Platinum,Bills,Female,49090,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Platinum,Femaleood,Female,243074,2014,11,27,Thursday
"Ahmedabad, India",27-11-2014,Signature,Grocery,Female,120429,2014,11,27,Thursday
"Delhi, India",27-11-2014,Signature,Femaleuel,Female,237645,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Platinum,Entertainment,Female,147137,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Silver,Femaleood,Female,143950,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Signature,Grocery,Female,229442,2014,11,27,Thursday
"Delhi, India",27-11-2014,Silver,Grocery,Female,125764,2014,11,27,Thursday
"Delhi, India",27-11-2014,Signature,Grocery,Female,190844,2014,11,27,Thursday
"Ahmedabad, India",27-11-2014,Platinum,Femaleood,M,276845,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Signature,Femaleood,Female,282204,2014,11,27,Thursday
"Delhi, India",27-11-2014,Signature,Femaleood,Female,162899,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Platinum,Femaleood,Female,34662,2014,11,27,Thursday
"Ahmedabad, India",27-11-2014,Platinum,Femaleuel,Female,63175,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Gold,Femaleuel,Female,272057,2014,11,27,Thursday
"Delhi, India",27-11-2014,Silver,Femaleood,M,204683,2014,11,27,Thursday
"Ahmedabad, India",27-11-2014,Silver,Femaleood,Female,49178,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Platinum,Femaleood,Female,105598,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Gold,Entertainment,Female,9221,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Signature,Femaleuel,M,279599,2014,11,27,Thursday
"Bengaluru, India",27-11-2014,Gold,Femaleuel,M,8782,2014,11,27,Thursday
"Delhi, India",27-11-2014,Platinum,Grocery,M,179816,2014,11,27,Thursday
"Greater Mumbai, India",27-11-2014,Gold,Entertainment,M,81876,2014,11,27,Thursday
"Delhi, India",27-11-2014,Gold,Grocery,Female,46808,2014,11,27,Thursday
"Sheikhpura, India",27-11-2014,Silver,Grocery,M,13165,2014,11,27,Thursday
"Dharmavaram, India",27-11-2014,Platinum,Femaleuel,Female,133956,2014,11,27,Thursday
"Rath, India",27-11-2014,Silver,Femaleuel,Female,4117,2014,11,27,Thursday
"Nirmal, India",27-11-2014,Platinum,Femaleood,Female,296534,2014,11,27,Thursday
"Shahpura, India",27-11-2014,Gold,Femaleood,M,202314,2014,11,27,Thursday
"Medak, India",27-11-2014,Signature,Femaleood,Female,181446,2014,11,27,Thursday
"Puliyankudi, India",27-11-2014,Platinum,Femaleood,M,254937,2014,11,27,Thursday
"Pathri, India",27-11-2014,Gold,Bills,Female,143025,2014,11,27,Thursday
"Mankachar, India",27-11-2014,Silver,Bills,Female,235864,2014,11,27,Thursday
"Sambalpur, India",27-11-2014,Signature,Femaleood,Female,220708,2014,11,27,Thursday
"Ujhani, India",27-11-2014,Signature,Femaleood,M,49034,2014,11,27,Thursday
"Kolkata, India",27-11-2014,Silver,Entertainment,Female,131051,2014,11,27,Thursday
"Kanpur, India",27-11-2014,Gold,Femaleood,Female,163977,2014,11,27,Thursday
"Pune, India",27-11-2014,Signature,Femaleuel,M,146889,2014,11,27,Thursday
"Lucknow, India",27-11-2014,Platinum,Entertainment,Female,279342,2014,11,27,Thursday
"Surat, India",27-11-2014,Platinum,Grocery,M,214500,2014,11,27,Thursday
"Pune, India",27-11-2014,Signature,Entertainment,M,199370,2014,11,27,Thursday
"Surat, India",27-11-2014,Signature,Entertainment,Female,242982,2014,11,27,Thursday
"Chennai, India",27-11-2014,Platinum,Grocery,M,70323,2014,11,27,Thursday
"Chennai, India",27-11-2014,Gold,Entertainment,M,75732,2014,11,27,Thursday
